title,description,source,mode,themes,entities,factsCount,topic,background,framing_debate,faithfulness,relevance,controversy,framing,coherence,overall,average,selected
"US senator demands answers from commish Rob Manfred after MLB's warning to Giants players who wrote Bible verses on Pride Night caps - Yahoo Sports","MLB does not typically allow players to write personal notes on their uniforms.","Yahoo Entertainment","philosophical","sports uniform policy; religious expression in sports; LGBTQ Pride events; political oversight of sports leagues","US senator; Rob Manfred; MLB; Giants players; Pride Night caps; Yahoo Entertainment","A US senator demanded answers from commissioner Rob Manfred after MLB warned Giants players who wrote Bible verses on Pride Night caps.; MLB does not typically allow players to write personal notes on their uniforms.","Should Major League Baseball permit players to display personal religious messages on their uniforms during league-sponsored events such as Pride Night?","A U.S. senator demanded answers from Commissioner Rob Manfred after MLB warned Giants players who wrote Bible verses on Pride Night caps. MLB does not typically allow players to write personal notes on their uniforms.","Is it appropriate for MLB to allow individual religious expression on uniforms during league-organized events?","9","10","6","9","9","9","8.6","0"
"US senator demands answers from commish Rob Manfred after MLB's warning to Giants players who wrote Bible verses on Pride Night caps - Yahoo Sports","MLB does not typically allow players to write personal notes on their uniforms.","Yahoo Entertainment","controversy","sports uniform policy; religious expression in sports; LGBTQ Pride events; political oversight of sports leagues","US senator; Rob Manfred; MLB; Giants players; Pride Night caps; Yahoo Entertainment","A US senator demanded answers from commissioner Rob Manfred after MLB warned Giants players who wrote Bible verses on Pride Night caps.; MLB does not typically allow players to write personal notes on their uniforms.","Should professional sports leagues allow players to display personal religious messages on their uniforms during events such as Pride Night?","A U.S. senator demanded answers from Commissioner Rob Manfred after Major League Baseball warned San Francisco Giants players who wrote Bible verses on Pride Night caps. MLB does not typically allow players to write personal notes on their uniforms.","Should professional sports leagues permit personal religious expressions on players' uniforms in contexts like Pride Night?","10","10","7","10","9","9.2","9.2","0"
"US senator demands answers from commish Rob Manfred after MLB's warning to Giants players who wrote Bible verses on Pride Night caps - Yahoo Sports","MLB does not typically allow players to write personal notes on their uniforms.","Yahoo Entertainment","viral","sports uniform policy; religious expression in sports; LGBTQ Pride events; political oversight of sports leagues","US senator; Rob Manfred; MLB; Giants players; Pride Night caps; Yahoo Entertainment","A US senator demanded answers from commissioner Rob Manfred after MLB warned Giants players who wrote Bible verses on Pride Night caps.; MLB does not typically allow players to write personal notes on their uniforms.","Should professional sports leagues allow individual players to add personal religious or political messages to their uniforms during league-sponsored events?","A U.S. senator demanded answers from MLB commissioner Rob Manfred after the league warned San Francisco Giants players who wrote Bible verses on Pride Night caps. MLB traditionally does not permit players to write personal notes on their uniforms.","To what extent should leagues regulate personal expressions, such as religious or political messages, on player uniforms during official events?","9","10","7","9","9","9","8.8","0"
"US senator demands answers from commish Rob Manfred after MLB's warning to Giants players who wrote Bible verses on Pride Night caps - Yahoo Sports","MLB does not typically allow players to write personal notes on their uniforms.","Yahoo Entertainment","emotional","sports uniform policy; religious expression in sports; LGBTQ Pride events; political oversight of sports leagues","US senator; Rob Manfred; MLB; Giants players; Pride Night caps; Yahoo Entertainment","A US senator demanded answers from commissioner Rob Manfred after MLB warned Giants players who wrote Bible verses on Pride Night caps.; MLB does not typically allow players to write personal notes on their uniforms.","Should Major League Baseball allow players to display personal religious messages on their uniforms during league-sponsored events?","A U.S. senator demanded answers from Commissioner Rob Manfred after MLB warned San Francisco Giants players who wrote Bible verses on Pride Night caps. MLB does not typically allow players to write personal notes on their uniforms.","Should MLB permit personal religious expressions on player uniforms in the context of league events?","9","10","9","9","9","9.2","9.2","0"
"Split results for Trump-backed candidates in Georgia’s GOP runoffs - The Washington Post","Billionaire Rick Jackson defeated the president’s preferred candidate to secure the GOP nomination for governor, while Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","The Washington Post","philosophical","Georgia GOP runoffs; Trump-backed candidates; Gubernatorial nomination; U.S. Senate race; Political endorsements","Rick Jackson; Donald Trump; Mike Collins; Georgia; The Washington Post; GOP; U.S. Senate","Split results occurred for Trump-backed candidates in Georgia's GOP runoffs.; Billionaire Rick Jackson defeated the president's preferred candidate to secure the GOP nomination for governor.; Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","To what extent should a political party prioritize the preferences of former President Donald Trump in its candidate selections?","In Georgia's GOP runoffs, split results occurred for Trump-backed candidates. Billionaire Rick Jackson defeated the president's preferred candidate to secure the GOP nomination for governor. Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","Should the Republican Party give greater weight to former President Donald Trump's endorsements when choosing its candidates?","10","10","7","10","10","9.4","9.4","0"
"Split results for Trump-backed candidates in Georgia’s GOP runoffs - The Washington Post","Billionaire Rick Jackson defeated the president’s preferred candidate to secure the GOP nomination for governor, while Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","The Washington Post","controversy","Georgia GOP runoffs; Trump-backed candidates; Gubernatorial nomination; U.S. Senate race; Political endorsements","Rick Jackson; Donald Trump; Mike Collins; Georgia; The Washington Post; GOP; U.S. Senate","Split results occurred for Trump-backed candidates in Georgia's GOP runoffs.; Billionaire Rick Jackson defeated the president's preferred candidate to secure the GOP nomination for governor.; Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","Should the influence of former President Donald Trump's endorsements be a decisive factor in Georgia's Republican primaries?","In Georgia's recent GOP runoffs, Trump-backed candidates experienced mixed outcomes. Billionaire Rick Jackson defeated the president's preferred candidate to win the Republican nomination for governor. Meanwhile, Trump-endorsed Congressman Mike Collins advanced in the race for a key U.S. Senate seat.","Does the weight of Trump’s endorsements enhance or undermine the democratic selection process within the Georgia Republican Party?","9","10","8","9","9","9","9","0"
"Split results for Trump-backed candidates in Georgia’s GOP runoffs - The Washington Post","Billionaire Rick Jackson defeated the president’s preferred candidate to secure the GOP nomination for governor, while Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","The Washington Post","viral","Georgia GOP runoffs; Trump-backed candidates; Gubernatorial nomination; U.S. Senate race; Political endorsements","Rick Jackson; Donald Trump; Mike Collins; Georgia; The Washington Post; GOP; U.S. Senate","Split results occurred for Trump-backed candidates in Georgia's GOP runoffs.; Billionaire Rick Jackson defeated the president's preferred candidate to secure the GOP nomination for governor.; Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","Should endorsements from former President Donald Trump be a decisive factor in Georgia's GOP primaries?","In the recent Georgia GOP runoffs, Trump-backed candidates yielded mixed outcomes. Billionaire Rick Jackson defeated the president's preferred candidate to win the GOP nomination for governor. Meanwhile, Trump-endorsed Congressman Mike Collins advanced in the race for a key U.S. Senate seat.","To what extent should voters allow former President Donald Trump's endorsements to influence their choices in Georgia's Republican primaries?","9","10","7","9","9","9","8.8","0"
"Split results for Trump-backed candidates in Georgia’s GOP runoffs - The Washington Post","Billionaire Rick Jackson defeated the president’s preferred candidate to secure the GOP nomination for governor, while Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","The Washington Post","emotional","Georgia GOP runoffs; Trump-backed candidates; Gubernatorial nomination; U.S. Senate race; Political endorsements","Rick Jackson; Donald Trump; Mike Collins; Georgia; The Washington Post; GOP; U.S. Senate","Split results occurred for Trump-backed candidates in Georgia's GOP runoffs.; Billionaire Rick Jackson defeated the president's preferred candidate to secure the GOP nomination for governor.; Trump-endorsed congressman Mike Collins advanced in the race for a key U.S. Senate seat.","Should former President Donald Trump's endorsements be a decisive factor in Georgia Republican primaries?","In Georgia's recent GOP runoffs, results were split among Trump-backed candidates. Billionaire Rick Jackson defeated the candidate preferred by President Trump to secure the Republican nomination for governor. Meanwhile, Trump-endorsed Congressman Mike Collins advanced in the race for a key U.S. Senate seat.","To what extent, if any, should voters consider Donald Trump's endorsements when choosing Republican candidates in Georgia?","10","10","9","9","10","9.6","9.6","0"
"Oil Selloff Deepens as Iran Deal Spurs Brent’s Fifth Daily Loss - Yahoo Finance","(Bloomberg) -- Oil tumbled to a fresh three-month low on gathering expectations that a US-Iran deal to reopen the Strait of Hormuz waterway will unleash a...","Yahoo Entertainment","philosophical","Oil price movement; Geopolitical agreements affecting energy markets; Middle East maritime navigation","Iran; United States; Strait of Hormuz; Brent; Yahoo Finance; Bloomberg","Oil prices fell to a fresh three-month low.; The decline was linked to expectations of a US‑Iran deal to reopen the Strait of Hormuz.","Should governments prioritize diplomatic negotiations over military posturing to stabilize global oil markets?","Oil prices fell to a fresh three-month low. The decline was linked to expectations of a US‑Iran deal to reopen the Strait of Hormuz. The Strait of Hormuz is a key maritime chokepoint for global oil shipments.","To what extent should diplomatic efforts be favored over military actions in influencing oil price stability?","9","9","6","8","9","8.2","8.2","1"
"Oil Selloff Deepens as Iran Deal Spurs Brent’s Fifth Daily Loss - Yahoo Finance","(Bloomberg) -- Oil tumbled to a fresh three-month low on gathering expectations that a US-Iran deal to reopen the Strait of Hormuz waterway will unleash a...","Yahoo Entertainment","controversy","Oil price movement; Geopolitical agreements affecting energy markets; Middle East maritime navigation","Iran; United States; Strait of Hormuz; Brent; Yahoo Finance; Bloomberg","Oil prices fell to a fresh three-month low.; The decline was linked to expectations of a US‑Iran deal to reopen the Strait of Hormuz.","Should expectations of diplomatic agreements, such as a potential US‑Iran deal, be a primary driver of oil price forecasts?","Oil prices fell to a fresh three‑month low. The decline was linked to expectations of a US‑Iran deal to reopen the Strait of Hormuz. The Strait of Hormuz is a critical maritime chokepoint for global oil shipments.","To what extent should market analysts and policymakers rely on anticipated geopolitical agreements when projecting future oil prices?","9","10","8","9","9","9","9","1"
